DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_CMN_NO_INTG_CODE_FOUND,No Metadata details found for the Integration Code,Used in Intg Services
TSGT_CMN_MEDIATOR_DATAINSERT_ERROR,Error Occurred While Inserting Data to Stage,Used in Common Mediator Service
TSGT_CMN_MEDIATOR_TIMEOUT_ERROR,Unable to get the data insert status. Wait time elapsed while getting the status. Either increase wait time or review data insert from the file to Stage tables(TSGT_CNTY_IBFILE_STAGE_TBL table),Used in Common Mediator Service
TSGT_CMN_ORCHESTRATOR_TIMEOUT_ERROR,Unable to get the Asset Comparison Job status. Wait time elapsed while getting the status. Either increase wait time or review Asset Comparison ESS Job from ERP Schedule Process.,Used in Common Orchestrator Service
TSGT_CMN_ORCHESTRATOR_ASSET_IMPORT_ERROR,Error While processing and importing Asset Comparison in ERP..,Used in Common Orchestrator Service
TSGT_PJCCOST_REPORT_GENERATION_ERROR,Exception Occurred while generating Consolidated Report,Used in PJCCOST Callback Service
TSGT_PJCCOST_ESS_PROCESSID_NOT_FOUND,Exception Occurred when Import Cost Export Output ESS Process ID not found,Used in PJCCOST Callback Service
TSGT_AP_REPORT_GENERATION_ERROR,Exception Occurred while generating Consolidated Report,Used in AP Callback Service
TSGT_AP_TRACKER_UPDATE_ERROR,Exception Occurred while Updating Tracker,Used in AP Callback Service
TSGT_BANKSTMT_TRACKER_UPDATE_ERROR,Exception Occurred while Updating Tracker Table,Used in Bank Statement Callback
TSGT_ASSET_REPORT_SERVICE_SUCCESS,Asset Processing Completed. Please see the Status in the Email Attached Report.,Used in Asset Report Service
TSGT_ASSET_REPORT_SERVICE_ERROR,Error Occured While %1,Used in Asset Report Service
TSGT_AP_ERP_BIP_REPORT_ERROR,Exception Occured while generating Interface Summary Report,Used in AP callback Service
TSGT_AP_ERP_STANDARD_REPORT_ERROR,Exception Occurred while generating Import Payables Invoices Report,Used in AP callback Service
TSGT_CMN_PORECEIPT_PROCESSING_ERROR_TO_ONBASE,Error Occurred While Updating Status of Processing POReceipts to Onbase.,Used in OB19 Dispatcher Service
TSGT_CMN_TIMEOUT_ERROR,Unable to get the data update status. Wait time elapsed while getting the status. Either increase wait time or review data from the trigger table(TSGT_FND_OB_INTG_TRIGGER table),Used in the Onbase Dispatcher Service
TSGT_CMN_NO_TRANSACTION_TYPE,Transaction Type not found,Used in the Callback Outbound Service
TSGT_CMN_INVALID_INTEGRATION_CODE,Invalid Integration Code,Used in Callback Outbound Service
TSGT_CMN_INVALID_SOURCE_NAME,Invalid Source Name,Used in Callback Outbound Service
TSGT_CMN_FILE_NOT_FOUND_IN_OBJECT_STORAGE,File not found in object storage. Please validate.,Used in the Dispatcher Service
TSGT_CMN_MOVE_FILE_FROM_BUCKET_TO_SFTP_SUCCESS,File uploaded to sftp path successfully.,Used in the Dispatcher Service
TSGT_CMN_MOVE_FILE_FROM_BUCKET_TO_SFTP_ERROR,Error occurred while uploading file to sftp path.,Used in the Dispatcher Service
TSGT_CMN_GET_METADATA_ERROR,Error occurred while getting the Metadata info.,Used in the Dispatcher Service
TSGT_CMN_ESS_JOB_ERROR_NO_DATA_TO_EXTRACT,ESS Job failed as there is no data to extract.,Used in the Callback Service
TSGT_CMN_METADATA_VALIDATION_FAILED,Error Occurred while validating metadata.,Used in the Dispatcher Service
TSGT_CMN_MOVEFILE_OBJECTSTORAGE_TO_SFTP_ERROR,Error while moving file from object storage to sftp path.,Used in the Dispatcher Service
TSGT_CMN_INTERFACE_IDENTIFIER_ERROR,Invalid Interface Identifier.,Used in Mediator Service
TSGT_CMN_INTEGRATION_TYPE_ERROR,Invalid Integration Type.,Used in Mediator Service
TSGT_CMN_MOVEFILE_FROM_SFTP_TO_OBJSTORAGE_SUCCESS,File uploaded to object storage successfully.,Used in Utility Service
TSGT_CMN_MOVEFILE_FROM_SFTP_TO_OBJSTORAGE_ERROR,Error occurred while uploading file to object storage.,Used in Utility Service
TSGT_CMN_FILE_NOT_FOUND_IN_SFTP_PATH,File not found in sftp path.,Used in Utility Service
TSGT_CMN_ESS_JOB_ERROR,ESS Job Import Error.,Used in Callback Service
TSGT_CMN_CALLBACK_SUCCESS,UCM file found. Moved to Object storage - Archive Bucket  successfully.,Used in Callback Service
TSGT_CMN_CALLBACK_ERROR,Callback error occurred. UCM file found. But failed to move to Archive.,Used in Callback Service
TSGT_CMN_NO_DOCID_FOUND,no document id found the BO,used in the republish service
TSGT_CMN_NO_TRANSACTION_ID_FOUND,No transaction Id found for this Job process.,used in Used in Callback Service Inbound
TSGT_CMN_MEDIATOR_DATAINSERT_SUCCESS,Inserted data to stage successfully.,used in Mediator Service
TSGT_CMN_MEDIATOR_TRANSFORMATION_SUCCESS,Data prepared successfully.,used in Mediator Service
TSGT_CMN_ORCHESTRATOR_INVOCATION_ERROR,Error while invoking orchestrator service.,used in Mediator Service
TSGT_CMN_GL_ORCHESTRATOR_TIMEOUT_ERROR,Unable to get the GL Job status. Wait time elapsed while getting the status. Either increase wait time or review ESS Job from ERP Schedule Process.,Used in GL Orchestrator Service
TSGT_CMN_FILENAME_NOT_FOUND,Original file name is not sent in the payload. Please validate.,Used in Reprocess Service
TSGT_CMN_MEDIATOR_INVOCATION_ERROR,Error while invoking mediator service.,used in Launcher Inbound Service
TSGT_CMN_GETESS_ERROR,Error while fetching ESS job details,Used in the GetESSoutputService Error
